Rk,Country,State,# of Pros,# Active,# of HOF,G,TDs,Most Touchdowns,TDs,Most Games Played,Games,Most Touchdowns-additional,Most Games Played-additional
124,Estonia,,2,0,0,262,0,,,Michael Roos,148,RoosMi20,
125,Fiji,,1,0,0,55,0,,,Freddy Keiaho,55,KeiaFr20,
126,France,,4,0,0,201,2,Charles Romes,2,Charles Romes,156,RomeCh20,RomeCh20
127,Germany,,4,0,0,146,13,Brandon Gibson,13,Brandon Gibson,76,GibsBr00,GibsBr00
128,Germany,Berlin,5,0,0,193,8,Ladarius Green,8,Uwe von Schamann,89,GreeLa00,vonscuwe01
129,Germany,Bremen,1,0,0,79,0,,,D.D. Lewis,79,LewiD.21,
130,Germany,Hamburg,1,0,0,62,0,,,Kasim Edebali,62,EdebKa00,
131,Germany,Hesse,21,0,0,1235,55,Tony Richardson,24,Tony Richardson,234,RichTo00,RichTo00
132,Germany,Lower Saxony,4,0,0,141,4,Tony Stewart,3,Tony Stewart,115,StewTo00,StewTo00
133,Germany,North Rhine-Westphalia,5,0,0,412,1,Jerome Felton,1,Jerome Felton,132,FeltJe00,FeltJe00
134,Germany,Rhineland-Palatinate,9,0,0,458,47,Reggie Williams,18,Terry Kinard,121,WillRe00,KinaTe00
135,Germany,Saarland,1,0,0,7,0,,,Phil Nesser,7,NessPh20,
136,Germany,Saxony-Anhalt,1,0,0,93,0,,,Ralf Mojsiejenko,93,MojsRa20,
137,Ghana,,3,0,0,217,0,,,Ebenezer Ekuban,122,EkubEb20,
138,Guatemala,,2,0,1,231,5,Ted Hendricks,4,Ted Hendricks,215,HendTe00,HendTe00
139,Guyana,,1,0,0,121,1,Lance Schulters,1,Lance Schulters,121,SchuLa00,SchuLa00
140,Honduras,,2,0,1,119,78,Steve Van Buren,77,Steve Van Buren,83,VanBSt00,VanBSt00
141,Hungary,,4,0,0,285,0,,,Pete Gogolak,149,GogoPe20,
142,Iran,,1,0,0,57,0,,,Shar Pourdanesh,57,PourSh20,
143,Italy,,23,0,1,695,10,David Knight,7,Leo Nomellini,174,KnigDa00,NomeLe00
144,Japan,,12,0,0,815,16,Robert Griffin,10,John Jackson,203,GrifRo01,JackJo22
145,Kenya,,2,0,0,21,0,,,Rees Odhiambo,16,OdhiRe00,
146,Kosovo,,1,0,0,4,0,,,Lirim Hajrullahu,4,HajrLi00,
147,Latvia,,2,0,0,16,0,,,Vilnis Ezerins,14,EzerVi00,
148,Lebanon,,2,0,0,4,0,,,Hicham El-Mashtoub,3,El-MHi20,
149,Libya,,1,0,0,6,1,Tony Cherry,1,Tony Cherry,6,CherTo20,CherTo20
150,Lithuania,,2,0,0,33,0,,,Arunas Vasys,22,VasyAr20,
151,Marshall Islands,,1,0,0,175,6,Todd Lyght,6,Todd Lyght,175,LyghTo00,LyghTo00
152,Mexico,Chihuahua,2,0,0,65,0,,,Frank Corral,64,corrafra01,
153,Mexico,Coahuila,2,0,0,112,0,,,Raul Allegre,92,allegrau01,
154,Mexico,Guanajuato,1,0,0,10,0,,,Victor Leyva,10,LeyvVi20,
155,Mexico,Jalisco,2,0,1,193,39,Tom Fears,39,Efren Herrera,106,FearTo00,herreefr01
156,Mexico,Mexico City,3,0,0,194,0,,,Rafael Septien,151,septiraf01,
157,Mexico,Michoacan,3,0,0,178,0,,,Tony Zendejas,149,zendeton01,
